ts_utc,volts,can_status,status
2026-09-02T11:15:18Z,12.8,T:00 R:00,ok
2026-09-02T11:20:19Z,12.8,T:00 R:00,ok
2026-09-02T11:25:20Z,12.8,T:00 R:00,ok
2026-09-02T11:30:21Z,12.8,T:00 R:00,ok
2026-09-02T11:35:22Z,12.8,T:00 R:00,ok
2026-09-02T11:40:23Z,12.8,T:00 R:00,ok
2026-09-02T11:45:24Z,12.8,T:00 R:00,ok
2026-09-02T11:50:25Z,12.8,T:00 R:00,ok
2026-09-02T11:55:26Z,12.8,T:00 R:00,ok
2026-09-02T12:00:27Z,12.8,T:00 R:00,ok
2026-09-02T12:05:28Z,12.8,T:00 R:00,ok
2026-09-02T12:10:29Z,12.8,T:00 R:00,ok
2026-09-02T12:15:30Z,12.8,T:00 R:00,ok
2026-09-02T12:20:31Z,12.8,T:00 R:00,ok
2026-09-02T12:25:32Z,12.8,T:00 R:00,ok
2026-09-02T12:30:33Z,12.8,T:00 R:00,ok
2026-09-02T12:35:34Z,12.8,T:00 R:00,ok
2026-09-02T12:40:35Z,12.8,T:00 R:00,ok
2026-09-02T12:45:36Z,12.8,T:00 R:00,ok
2026-09-02T12:50:37Z,13.5,T:00 R:00,ok
2026-09-02T12:55:38Z,13.5,T:00 R:00,ok
2026-09-02T13:00:39Z,12.7,T:00 R:00,ok
2026-09-02T13:05:40Z,12.9,T:00 R:00,ok
2026-09-02T13:10:41Z,12.9,T:00 R:00,ok
2026-09-02T13:15:42Z,12.9,T:00 R:00,ok
2026-09-02T13:20:43Z,12.9,T:00 R:00,ok
2026-09-02T13:25:44Z,12.9,T:00 R:00,ok
2026-09-02T13:30:45Z,12.8,T:00 R:00,ok
2026-09-02T13:35:46Z,12.8,T:00 R:00,ok
2026-09-02T13:40:47Z,12.8,T:00 R:00,ok
2026-09-02T13:45:49Z,12.8,T:00 R:00,ok
2026-09-02T13:50:50Z,12.8,T:00 R:00,ok
2026-09-02T13:55:51Z,12.8,T:00 R:00,ok
2026-09-02T14:00:52Z,12.8,T:00 R:00,ok
2026-09-02T14:05:53Z,12.8,T:00 R:00,ok
2026-09-02T14:10:54Z,12.5,T:00 R:00,ok
2026-09-02T14:15:55Z,12.8,T:00 R:00,ok
2026-09-02T14:20:56Z,12.8,T:00 R:00,ok
2026-09-02T14:25:57Z,12.8,T:00 R:00,ok
2026-09-02T14:30:58Z,12.8,T:00 R:00,ok
2026-09-02T14:35:59Z,12.8,T:00 R:00,ok
2026-09-02T14:41:00Z,12.8,T:00 R:00,ok
2026-09-02T14:46:01Z,12.8,T:00 R:00,ok
2026-09-02T14:51:02Z,12.8,T:00 R:00,ok
2026-09-02T14:56:03Z,12.8,T:00 R:00,ok
2026-09-02T15:01:04Z,12.8,T:00 R:00,ok
2026-09-02T15:06:05Z,12.8,T:00 R:00,ok
2026-09-02T15:11:06Z,12.8,T:00 R:00,ok
2026-09-02T15:16:07Z,12.8,T:00 R:00,ok
2026-09-02T15:21:08Z,12.5,T:00 R:00,ok
2026-09-02T15:26:09Z,12.8,T:00 R:00,ok
2026-09-02T15:28:41Z,12.8,T:00 R:00,ok
