utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T04:07:19.561948Z,0.0,13.9V,,,78.851,151.1,262.2,19.45,107.6,,,,,,13.1,0,0,0,0,0,-1.56,0.0,-0.00637,
2026-09-03T04:07:26.766865Z,7.205,13.9V,,,78.851,151.1,262.2,19.45,107.6,,,,,,13.1,0,0,0,0,0,-1.56,0.0,-0.00637,
2026-09-03T04:07:32.091294Z,12.53,13.9V,,,78.851,151.11,262.2,19.45,107.6,,,,,,13.1,0,0,0,0,0,-1.56,0.0,-0.00637,
