utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:27:05.921659Z,0.0,13.8V,0,2256.7,77.447,146.97,256.61,36.66,105.8,00,,3.9828,3.9814,3.9861,4.7,720FB317,767675757575757575757676767675757575757575757676,382.34,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:27:11.849759Z,5.928,13.9V,0,2256.7,77.447,146.97,256.61,36.66,105.8,00,0.0,3.9829,3.9815,3.9862,4.7,720FB317,767675757575757575757676767675757575757575757676,382.5,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:27:15.945024Z,10.024,13.9V,0,2256.7,77.447,146.96,256.61,36.66,105.8,00,-3.59,3.9829,3.9814,3.9861,4.7,760FB317,767675757575757575757676767675757575757575757676,382.38,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:27:20.182530Z,14.261,13.9V,0,2256.7,77.447,146.96,256.61,36.66,105.8,00,-2.52,3.9828,3.9814,3.9861,4.7,720FB317,767675757575757575757676767675757575757575757676,382.34,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.01274,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
