utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T07:00:01.236394Z,0.0,13.5V,,,89.653,172.04,298.24,0.0,105.8,24,,4.0919,4.0913,4.0936,2.3,392.74,0.0,0.0,12.7,0,0,0,0,0,-0.99,0.0,0.0,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDCDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:16.324021Z,15.088,13.5V,,,89.653,172.04,298.24,0.0,105.8,21,0.0,4.0918,4.0912,4.0936,2.4,393.05,-0.55,-0.22,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDCDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:22.981519Z,21.745,13.5V,,,89.653,172.04,298.24,0.0,105.8,21,0.0,4.0917,4.0912,4.0934,2.2,392.86,0.3,0.12,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDCDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:30.100905Z,28.865,13.5V,,,89.653,172.04,298.24,0.0,105.8,1E,0.0,4.0917,4.0912,4.0933,2.1,392.66,0.0,0.0,12.7,0,0,0,0,0,-0.99,0.0,0.0,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDCDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:37.570600Z,36.334,13.5V,,,89.653,172.03,298.24,0.0,105.8,1E,-0.99,4.0917,4.0912,4.0934,2.2,392.86,0.3,0.12,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDCDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:44.297459Z,43.061,13.5V,,,89.653,172.03,298.24,0.0,105.8,1E,-0.84,4.0918,4.0913,4.0935,2.2,392.7,-0.25,-0.1,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDCDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:50.986714Z,49.751,13.5V,,,89.653,172.03,298.24,0.0,105.8,1E,-0.72,4.0918,4.0912,4.0935,2.3,392.9,-0.25,-0.1,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDBDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:00:57.760431Z,56.524,13.5V,,,89.653,172.03,298.24,0.0,105.8,1E,-0.64,4.0917,4.0912,4.0934,2.2,392.86,0.3,0.12,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDBDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:01:04.922468Z,63.686,13.5V,,,89.653,172.03,298.24,0.0,105.8,1E,-0.74,4.0918,4.0913,4.0934,2.1,392.7,0.0,0.0,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDBDBDBDBDBDBDBDBDBDBDCDC
2026-09-03T07:01:18.056010Z,76.82,13.5V,,,89.653,172.03,298.24,0.0,105.8,1A,-0.65,4.0917,4.0912,4.0934,2.2,392.86,0.3,0.12,12.7,0,0,0,0,0,-0.99,0.0,-0.00637,DBDCDDDDDDDDDDDDDDDDDDDDDDDDDBDBDBDBDBDBDBDBDBDBDCDC
