utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-04T00:41:55.625298Z,0.0,13.0V,46,2258.5,75.447,143.24,250.4,37.72,102.2,00,,3.9619,3.9604,3.9649,4.5,780FB717,767676757675757575757676767675767576757575757676,5.0,1489.0,0.0,9.0,131.0,12.615,000008,0001B8,00005E,6B,0184,094F,1396,1396,64,00EA,01A2,03F7,01CC,381.09,-34.75,-13.24,12.2,50,50,50,50,0,0.86,0.03186,-0.0446,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:04.226275Z,8.601,12.9V,38,2258.5,75.447,143.25,250.4,37.78,102.2,00,4.19,3.9704,3.9687,3.9735,4.8,710FB617,767676757675757575757676767676767576757575757676,5.0,1496.0,0.0,9.0,131.0,12.581,000008,0001B8,00005E,6B,0184,094B,1396,1396,64,00EA,01A2,03F7,01CF,380.26,3.0,1.14,12.2,39,39,39,39,0,17.36,0.08283,-0.02548,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:11.216349Z,15.591,12.9V,47,2258.6,75.447,143.28,250.4,37.84,102.2,00,9.24,3.9662,3.9648,3.969,4.2,730FB317,767676757675757575757676767676767576757675757676,5.0,1502.0,0.0,9.0,131.0,12.547,000009,0001B8,00005E,6B,0184,094B,1396,1396,64,00EA,01A2,03F7,01D0,374.67,306.0,114.65,12.1,30,30,30,30,0,16.06,0.06371,0.21662,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBCBBBBBBBCBCBBBBBCBCBB
2026-09-04T00:42:17.144579Z,21.52,12.9V,56,2258.7,75.447,143.09,250.4,37.84,102.2,00,-25.09,3.9331,3.9315,3.9364,4.9,740FB817,767676757675757575757676767676767576757575757676,5.0,1510.0,0.0,9.0,131.0,12.568,000009,0001B8,00005E,6B,0184,0946,1396,1396,64,00EA,01A2,03F7,01D0,381.24,-44.95,-17.14,12.2,60,61,61,61,0,6.56,0.05097,-0.0446,BABABBBBBABBBBBABBBABBBABBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:24.299576Z,28.675,12.9V,20,2258.8,75.447,143.13,250.4,37.97,100.4,00,-13.81,3.9775,3.9755,3.9807,5.2,780FB517,767676757675757575757676767676767576757575757676,5.0,1517.0,0.0,9.0,131.0,12.587,00000A,0001C2,000060,6B,0184,0941,139A,1396,64,00EA,01A2,03F7,01CE,382.76,-133.45,-51.08,12.1,37,37,37,37,0,-0.31,0.0,-0.15928,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:32.459189Z,36.834,12.9V,0,2258.8,75.447,143.2,250.4,37.97,100.4,00,-3.91,3.9638,3.9624,3.9669,4.5,760FB817,767676757675757575757676767676767576757675757676,5.0,1524.0,0.0,9.0,131.0,12.667,00000C,0001C2,000060,6B,0184,0946,1396,1396,64,00EA,01A2,03F2,01C9,380.48,9.9,3.77,12.2,0,0,0,0,2500,-132.11,0.00637,0.06371,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:38.706196Z,43.081,12.9V,0,2258.8,75.447,143.19,250.4,37.97,100.4,00,-4.18,3.9614,3.9601,3.9643,4.2,720FB317,767676757675757575757676767676767576757675757676,5.0,1531.0,0.0,9.0,131.0,12.667,00000C,0001C2,000060,6B,0184,094F,1391,1391,64,00EA,01A2,03F2,01C7,380.63,9.9,3.77,12.2,0,0,0,0,2500,-115.98,0.00637,-0.00637,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:46.303454Z,50.678,12.9V,0,2258.8,75.447,143.19,250.4,37.97,100.4,00,-3.55,3.9613,3.96,3.9644,4.4,760FB317,767676757675757575757676767676767576757675757676,5.0,1539.0,0.0,9.0,131.0,12.655,00000C,0001C2,000060,6B,0184,094F,1391,1391,64,00EA,01A2,03F2,01C4,380.11,11.1,4.22,12.2,0,0,0,0,1700,-115.98,0.00637,-0.00637,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:42:54.062728Z,58.438,12.9V,0,2258.8,75.447,143.18,250.4,37.97,102.2,00,-3.7,3.9613,3.96,3.9644,4.4,730FB317,767676757675757575757676767676767576757675757676,5.0,1546.0,0.0,9.0,131.0,12.648,00000C,0001C2,000060,6B,0184,095A,1396,1396,64,00EA,01A2,03F2,01C0,380.11,10.8,4.11,12.2,0,0,0,0,1700,-115.98,0.00637,-0.00637,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
2026-09-04T00:43:00.874248Z,65.249,12.9V,19,2258.8,75.447,143.17,250.4,37.97,102.2,00,-5.08,3.9614,3.96,3.9643,4.3,720FB317,767676757675757575757676767676767576757675757676,5.0,1552.0,0.0,9.0,131.0,12.587,00000C,0001C2,000060,6B,0184,095F,139A,139A,64,00EA,01A2,03F2,01C3,379.19,64.8,24.57,12.1,0,0,1,0,0,-122.36,0.0,0.18476,BBBABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBCBB
