utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:07:14.053908Z,0.0,13.7V,0,2247.5,78.949,150.07,262.2,31.01,104.0,00,,3.9973,3.9959,4.0007,4.8,720FB317,757575747574747474747575757575757475747474747575,383.75,4.5,1.73,13.0,0,0,0,0,2500,-35.49,0.0,0.01911,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:20.504100Z,6.45,13.8V,0,2247.5,78.949,150.06,262.2,31.01,104.0,00,-5.58,3.9974,3.9959,4.0007,4.8,720FB317,757575747574747474747575757575757475747474747575,383.97,4.8,1.84,13.0,0,0,0,0,2400,-36.06,0.0,0.01911,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:24.867454Z,10.814,13.8V,0,2247.5,78.949,150.06,262.2,31.01,104.0,00,-3.33,3.9974,3.9959,4.0007,4.8,720FB317,757575747574747474747575757575757475747474747575,383.75,5.1,1.96,13.0,0,0,0,0,2700,-36.12,0.0,0.01911,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:29.125237Z,15.072,13.8V,0,2247.5,78.949,150.06,262.2,31.01,104.0,00,-2.39,3.9974,3.9959,4.0008,4.9,760FB317,757575747574747474747575757575757475747474747575,383.78,5.1,1.96,13.0,0,0,0,0,2400,-36.12,0.0,0.02548,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:33.062869Z,19.009,13.8V,0,2247.5,78.949,150.06,262.2,31.01,104.0,00,-1.89,3.9974,3.9959,4.0007,4.8,760FB317,757575747574747474747575757575757475747474747575,384.27,5.1,1.96,13.0,0,0,0,0,2400,-36.12,0.0,0.01911,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:37.789284Z,23.736,13.8V,0,2247.5,78.949,150.05,262.2,31.01,104.0,00,-3.03,3.9973,3.9959,4.0007,4.8,720FB317,757575747574747474747575757575757475747474747575,383.75,5.1,1.96,13.0,0,0,0,0,2400,-36.12,0.0,0.01911,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:42.175913Z,28.122,13.8V,0,2247.5,78.949,150.05,262.2,31.01,104.0,00,-2.56,3.9974,3.9959,4.0007,4.8,720FB317,757575747574747474747575757575757475747474747575,383.78,5.1,1.96,13.0,0,0,0,0,2300,-36.12,0.0,0.02548,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:47.462912Z,33.409,13.8V,0,2247.5,78.949,150.05,262.2,31.01,104.0,00,-2.16,3.9973,3.9958,4.0006,4.8,720FB317,757575747574747474747575757575757475747474747575,383.93,4.2,1.61,13.0,0,0,0,0,2100,-36.12,0.0,0.02548,C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:51.586957Z,37.533,13.8V,0,2247.5,78.949,150.04,262.2,31.01,104.0,00,-2.88,3.9973,3.9958,4.0007,4.9,710FB317,757575747574747474747575757575757475747474747575,383.93,5.1,1.96,13.0,0,0,0,0,2100,-36.12,0.0,0.02548,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:07:56.876453Z,42.823,13.8V,0,2247.5,78.949,150.04,262.2,31.01,102.2,00,-2.52,3.9972,3.9957,4.0006,4.9,710FB317,757575747574747474747575757575757475747474747575,383.93,4.5,1.73,13.0,0,0,0,0,2100,-36.12,0.0,0.02548,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:01.202006Z,47.148,13.8V,0,2247.5,78.949,150.04,262.2,31.01,102.2,00,-2.29,3.9972,3.9957,4.0007,5.0,710FB317,757575747574747474747575757575757475747474747575,383.6,4.2,1.61,13.0,0,0,0,0,1800,-36.12,0.0,0.02548,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
