utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T04:15:36.171959Z,0.0,13.9V,0,2197.6,78.851,151.26,262.2,19.45,114.8,96,4.0028,4.0014,4.0064,5.0,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:15:44.600747Z,8.429,13.9V,0,2197.6,78.851,151.26,262.2,19.45,114.8,96,4.003,4.0016,4.0067,5.1,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:15:51.057885Z,14.886,13.9V,0,2197.6,78.851,151.26,262.2,19.45,114.8,96,4.0031,4.0015,4.0069,5.4,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:15:57.714770Z,21.543,13.9V,0,2197.6,78.851,151.27,262.2,19.45,114.8,96,4.0032,4.0017,4.007,5.3,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:04.963015Z,28.791,13.9V,0,2197.6,78.851,151.27,262.2,19.45,114.8,96,4.0033,4.0018,4.007,5.2,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:12.315915Z,36.144,13.9V,0,2197.6,78.851,151.28,262.2,19.45,114.8,96,4.0034,4.0018,4.0071,5.3,13.1,0,0,0,0,0,-0.99,0.0,0.0,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:18.801916Z,42.63,13.9V,0,2197.6,78.851,151.28,262.2,19.45,114.8,96,4.0035,4.0021,4.0072,5.1,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:25.293371Z,49.122,13.9V,0,2197.6,78.851,151.29,262.2,19.45,114.8,96,4.0036,4.0023,4.0073,5.0,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:31.798690Z,55.627,13.9V,0,2197.6,78.851,151.29,262.2,19.45,114.8,96,4.0037,4.0023,4.0074,5.1,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:38.376949Z,62.205,13.9V,0,2197.6,78.851,151.3,262.2,19.45,114.8,96,4.0039,4.0024,4.0076,5.2,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:44.871485Z,68.7,13.9V,0,2197.6,78.851,151.3,262.2,19.45,114.8,96,4.004,4.0025,4.0076,5.1,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:16:53.741424Z,77.57,13.9V,0,2197.6,78.851,151.31,262.2,19.45,114.8,96,4.0041,4.0027,4.0077,5.0,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:01.625835Z,85.454,13.9V,0,2197.6,78.851,151.32,262.2,19.45,114.8,96,4.0043,4.003,4.008,5.0,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:09.465805Z,93.294,13.9V,0,2197.6,78.851,151.33,262.2,19.45,114.8,96,4.0045,4.003,4.0083,5.3,13.1,0,0,0,0,0,-0.99,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:17.059597Z,100.888,13.9V,0,2197.6,78.851,151.33,262.2,19.45,114.8,96,4.0046,4.003,4.0084,5.4,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:24.483967Z,108.312,13.9V,0,2197.6,78.851,151.34,262.2,19.45,114.8,96,4.0047,4.0032,4.0084,5.2,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:32.134877Z,115.963,13.9V,0,2197.6,78.851,151.35,262.2,19.45,114.8,96,4.0049,4.0034,4.0086,5.2,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:39.634027Z,123.462,13.9V,0,2197.6,78.851,151.36,262.2,19.45,114.8,96,4.005,4.0037,4.0089,5.2,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:47.509965Z,131.338,13.9V,0,2197.6,78.851,151.36,262.83,19.45,114.8,96,4.0052,4.0037,4.009,5.3,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:17:55.157507Z,138.986,13.9V,0,2197.6,78.851,151.37,262.83,19.45,114.8,96,4.0053,4.0037,4.0092,5.5,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T04:18:03.035180Z,146.863,13.9V,0,2197.6,78.851,151.38,262.83,19.45,113.0,96,4.0054,4.004,4.0091,5.1,13.1,0,0,0,0,0,-0.92,0.0,0.0,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
