utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:08:22.632038Z,0.0,13.8V,0,2247.5,78.949,150.03,262.2,31.01,102.2,00,,3.9972,3.9957,4.0006,4.9,710FB317,757575747574747474747575757575757475747474747575,383.78,5.7,2.19,12.9,0,0,0,0,1300,-32.56,0.0,0.02548,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:28.677219Z,6.045,13.7V,7,2247.5,78.949,150.02,262.2,31.01,102.2,00,-5.96,3.9948,3.9933,3.9982,4.9,710FB317,757575747574747474757575757575757475747574747575,383.33,33.6,12.88,13.0,4,5,3,4,0,406.76,0.02548,0.09557,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:32.686523Z,10.055,13.8V,20,2247.6,78.949,150.01,262.2,31.01,102.2,00,-7.16,3.9831,3.9814,3.9867,5.3,710FB317,757575747574747474747575757575757475747474747575,382.8,51.0,19.52,13.0,18,18,18,19,0,19.29,-0.03186,0.05734,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:37.542729Z,14.911,13.7V,10,2247.6,78.949,149.99,262.2,31.01,102.2,00,-9.66,4.0026,4.001,4.006,5.0,710FB317,757575747574747474747575757575757475747474747575,383.93,0.9,0.35,13.0,13,11,13,11,100,-261.49,-0.22299,-0.10831,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:42.105055Z,19.473,13.8V,12,2247.6,78.949,150.0,262.2,31.01,102.2,00,-5.55,3.9924,3.9909,3.9959,5.0,710FB317,757575747574747474747575757575757475747474747575,383.97,12.0,4.61,13.1,12,11,12,11,0,-38.87,-0.02548,-0.00637,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:46.426882Z,23.795,13.8V,20,2247.6,78.949,149.99,262.2,31.01,102.2,00,-6.05,3.9893,3.9876,3.9927,5.1,710FB317,757575747574747474747575757575757475747474747575,382.72,70.8,27.1,13.0,16,16,16,16,0,-5.92,-0.02548,0.07008,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:50.560572Z,27.929,13.8V,23,2247.6,78.949,149.96,262.2,31.07,102.2,00,-9.02,3.9897,3.9881,3.9933,5.2,710FB317,757575747574747474757575757575757475747574747575,383.78,2.4,0.92,13.0,23,23,23,23,0,-24.68,-0.08283,0.0,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:54.718777Z,32.087,13.7V,14,2247.7,78.949,149.96,262.2,31.07,102.2,00,-7.85,3.9991,3.9975,4.0025,5.0,730FB717,757575747574747474747575757575757475747574747575,385.04,-50.65,-19.5,12.9,19,19,19,19,300,33.62,0.01911,-0.12742,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:08:59.256337Z,36.625,13.7V,25,2247.7,78.949,149.97,262.2,31.07,102.2,00,-5.9,3.988,3.9865,3.9916,5.1,710FB317,757575747574747474757575757575757475747574747575,381.43,140.7,53.67,12.9,16,19,16,18,0,235.55,0.29308,0.14017,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:03.417241Z,40.785,13.7V,64,2247.7,78.949,149.88,262.2,31.07,102.2,00,-13.24,3.9142,3.908,3.9201,12.1,780FB417,757575747574747474747575757575757475747474747575,375.35,423.0,158.77,12.9,54,54,54,54,0,-15.31,-0.0446,0.24848,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:08.092121Z,45.46,13.8V,69,2247.8,78.949,149.73,262.2,31.13,100.4,00,-23.76,3.9452,3.9418,3.9497,7.9,760FB317,757575747574747474757575757575757475747574747575,382.8,-12.25,-4.69,13.1,69,69,69,69,0,-0.24,0.03186,0.00637,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:12.509950Z,49.878,13.8V,63,2247.9,78.949,149.69,261.58,31.19,102.2,00,-24.54,3.9975,3.9957,4.0012,5.5,770FB817,757575747574747474757575757575757475747574747575,384.24,-45.25,-17.39,13.0,65,65,65,65,0,-0.68,0.01274,-0.03823,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:17.313258Z,54.681,13.7V,69,2248.0,78.949,149.72,261.58,31.25,102.2,00,-20.41,3.972,3.9697,3.9762,6.5,770FB817,757575747574747474757575757575757475747574747575,376.91,364.8,137.5,12.9,65,65,64,65,0,1.98,0.02548,0.1338,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:21.829942Z,59.198,13.8V,62,2248.1,78.447,149.65,261.58,31.32,102.2,00,-23.11,3.9977,3.996,4.0011,5.1,730FB417,757575747574747474747575757575757475747574747575,385.83,-143.05,-55.19,12.9,65,65,65,65,0,18.48,0.1338,-0.05097,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:26.277744Z,63.646,13.2V,58,2248.1,78.447,149.68,261.58,31.32,102.2,00,-21.25,3.9925,3.9905,3.996,5.5,760FB717,757575747574747474747575757575757475747474747575,384.76,-41.65,-16.03,12.3,59,59,59,59,0,13.86,0.09557,-0.0446,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:30.160039Z,67.528,13.0V,59,2248.2,78.447,149.68,261.58,31.38,102.2,00,-20.67,4.0004,3.9989,4.0037,4.8,710FB317,757575747574747474747575757575757475747574747575,379.84,191.7,72.82,12.3,55,55,55,55,0,1.3,0.01911,0.05097,C2C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:09:33.942297Z,71.311,13.0V,84,2248.3,78.447,149.56,261.58,31.44,102.2,00,-27.45,3.8542,3.8453,3.8607,15.4,780FB717,757575747574747474757575757575757475747574747575,381.73,34.5,13.17,12.2,83,83,83,84,0,0.42,0.02548,0.05097,C2C2C2C2C2C2C2C2C2C2C2C2C3C3C3C3C2C3C3C3C3C3C3C3C3C3
2026-09-03T22:09:38.406699Z,75.775,12.9V,58,2248.4,78.447,149.47,261.58,31.5,102.2,00,-33.89,4.0542,4.0499,4.0617,11.8,750FB117,757575747574747474757575757575757475747574747575,389.74,-350.05,-136.43,12.2,67,67,67,67,0,0.18,0.00637,-0.22936,C2C2C2C2C2C2C2C2C2C2C2C2C3C3C3C3C2C3C3C3C3C3C3C3C3C3
2026-09-03T22:09:42.886129Z,80.254,13.0V,28,2248.4,78.447,149.61,261.58,31.5,102.2,00,-24.23,4.028,4.026,4.0327,6.7,750FB817,757575747574747474747575757575757475747574747575,387.24,-225.25,-87.23,12.2,39,39,39,39,0,0.31,0.01274,-0.19751,C2C2C3C3C3C3C3C2C3C2C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
