utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,field_4127_raw,field_4124_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-05T02:28:21.850155Z,0.0,13.8V,39,2329.9,77.206,147.41,256.61,34.42,98.6,00,,3.9496,3.946,3.9528,6.8,780FB617,757675757575757575757676767675757575757575757575,5.0,252.0,0.0,13.0,202.0,13.488,000005,00017C,000051,71,0184,0919,1396,1396,46,00EE,03E8,03C5,01DA,380.64,90.9,59ED,34.6,13.0,39,39,39,39,0,-24.86,-0.06371,0.05097,BFBFC0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:28:29.712771Z,7.863,13.8V,7,2330.0,77.206,147.38,256.61,34.49,98.6,00,-13.74,3.9999,3.9977,4.0028,5.1,780FB617,757675757575757575757676767675757575757575757575,5.0,258.0,0.0,13.0,202.0,13.521,000006,00017C,000051,71,0184,0923,1391,1391,46,00EE,03E8,03C5,01DD,382.65,-23.95,5122,-9.16,13.0,15,15,15,15,1000,-4.99,0.00637,-0.21662,BFBFC0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:28:35.766052Z,13.916,13.9V,36,2330.0,77.206,147.39,256.61,34.49,98.6,00,-5.17,3.9684,3.9671,3.9702,3.1,710FB317,757675757575757575757676767675757575757575757675,5.0,264.0,0.0,13.0,202.0,13.481,000006,00017C,000051,71,0184,0927,1391,1391,46,00EE,03E8,03C5,01DF,378.02,216.0,69AE,81.65,13.0,22,20,22,20,0,-86.48,-0.07645,0.21662,BFBFC0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:28:41.673440Z,19.824,13.9V,38,2330.1,77.206,147.28,256.61,34.49,98.6,00,-23.61,3.9717,3.9703,3.9734,3.1,780FB317,767675757575757575757676767675757575757575757675,5.0,270.0,0.0,13.0,202.0,13.515,000006,00017C,000051,71,0184,0937,1396,1396,46,00EE,03E8,03C5,01DE,382.69,-25.45,55EC,-9.74,13.1,41,41,41,42,0,-3.12,-0.00637,-0.03186,BFBFC0C0C0C0C0BFC0C0BFC0C0C0C0C0BFC0C0C0C0BFBFC0C0C0,0,0
2026-09-05T02:28:48.047198Z,26.197,13.9V,9,2330.1,77.206,147.3,256.61,34.55,98.6,00,-15.12,3.9954,3.9935,3.9975,4.0,760FB217,767675757575757575757676767675757575757575757675,5.0,277.0,0.0,13.0,202.0,13.528,000007,00017C,000051,71,0184,0941,1396,1396,46,00EE,03E8,03C5,01D9,383.64,-80.05,4C72,-30.71,13.0,23,23,23,23,0,-1.56,0.02548,-0.19751,BFBFC0C0C0C0C0BFC0C0BFC0C0C0C0C0BFC0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:28:54.330002Z,32.48,13.9V,4,2330.1,77.206,147.33,256.61,34.55,98.6,00,-8.87,3.9788,3.9776,3.9805,2.9,730FB417,757675757575757575757676767675757575757575757575,5.0,283.0,0.0,13.0,202.0,13.555,000007,00017C,000051,71,0184,094F,1396,1396,46,00EE,03E8,03C5,01D6,381.89,15.9,5D0D,6.07,13.1,0,0,0,0,0,259.62,-0.01274,-0.06371,BFBFC0C0C0C0C0C0C0C0C0C0C0C0C0C0BFC0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:29:00.875667Z,39.026,13.9V,0,2330.1,77.206,147.32,256.61,34.55,98.6,00,-8.3,3.9781,3.977,3.9798,2.8,730FB317,757675757575757575757676767675757575757575757575,5.0,289.0,0.0,13.0,202.0,13.548,000007,00017C,000051,71,0184,095F,1396,1391,46,00EE,03E8,03C5,01D3,382.05,7.5,5813,2.87,13.1,3,2,3,2,0,-255.38,0.00637,-0.05097,BFBFC0C0C0C0C0BFC0C0C0C0C0C0C0C0BFC0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:29:06.966355Z,45.116,13.9V,1,2330.1,77.206,147.31,256.61,34.55,98.6,00,-7.98,3.9764,3.9752,3.9781,2.9,710FB417,757675757575757575757676767675757575757575757575,5.0,296.0,0.0,13.0,202.0,13.494,000007,00017C,000051,71,0184,0964,1396,1396,46,00EE,03E8,03C5,01CD,382.08,9.9,59B5,3.78,13.1,3,2,2,2,500,-104.5,-0.01274,0.00637,BFBFC0C0C0C0C0BFC0C0C0C0C0C0C0C0BFC0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:29:13.491543Z,51.642,13.9V,1,2330.2,77.206,147.3,256.61,34.61,100.4,00,-7.67,3.9782,3.9771,3.98,2.9,720FB317,757675757575757575757676767675757575757575757575,5.0,302.0,0.0,13.0,202.0,13.534,000007,00017C,000051,71,0184,0973,1396,1396,46,00EE,03E8,03CA,01CC,382.23,10.2,5A3F,3.9,13.1,1,0,0,0,0,-35.18,0.0,-0.07008,BFBFC0C0C0C0C0BFC0C0BFC0C0C0C0C0BFC0C0C0C0C0C0C0C0C0,0,0
2026-09-05T02:29:19.661171Z,57.811,13.9V,2,2330.2,77.206,147.29,256.61,34.61,100.4,00,-7.47,3.9781,3.9768,3.9801,3.3,750FB817,757675757575757575757676767675757575757575757675,5.0,308.0,0.0,13.0,202.0,13.528,000007,00017C,000051,71,0184,097C,1391,1396,46,00EE,03E8,03CA,01CC,382.05,10.5,59E3,4.01,13.1,1,1,1,1,0,56.06,0.0,-0.02548,BFBFC0C0C0C0C0BFC0C0BFC0C0C0C0C0BFC0C0C0C0C0C0C0C0C0,0,0
