utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:26:11.163271Z,0.0,13.9V,0,2256.7,77.447,146.99,257.23,36.66,105.8,00,,3.9829,3.9814,3.9862,4.8,760FB717,767675757575757575757676767675757575757575757676,382.53,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.01274,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:26:17.015621Z,5.853,13.8V,0,2256.7,77.447,146.99,257.23,36.66,105.8,00,0.0,3.9829,3.9814,3.9861,4.7,760FB317,767675757575757575757676767675757575757575757676,382.65,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:26:21.483821Z,10.321,13.9V,0,2256.7,77.447,146.99,257.23,36.66,105.8,00,0.0,3.9829,3.9814,3.9861,4.7,760FB317,767675757575757575757676767675757575757575757676,382.68,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:26:25.675872Z,14.513,13.8V,0,2256.7,77.447,146.99,256.61,36.66,105.8,00,0.0,3.9829,3.9815,3.9862,4.7,760FB317,767675757575757575757676767675757575757575757676,382.68,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:26:29.650618Z,18.488,13.8V,0,2256.7,77.447,146.99,256.61,36.66,105.8,00,0.0,3.9829,3.9815,3.9862,4.7,760FB317,767675757575757575757676767675757575757575757676,382.34,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:26:33.758391Z,22.595,13.8V,0,2256.7,77.447,146.98,256.61,36.66,105.8,00,-1.59,3.9829,3.9814,3.9861,4.7,720FB317,767675757575757575757676767675757575757575757676,382.34,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
2026-09-03T22:26:38.755243Z,27.592,13.9V,0,2256.7,77.447,146.98,256.61,36.66,105.8,00,-1.3,3.9829,3.9815,3.9862,4.7,720FB317,767675757575757575757676767675757575757575757676,382.34,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBFBFBFBFBFBFBFBFBFBFBFBFC0C0C0C0C0C0C0C0C0C0C0C0C0
