utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-04T04:31:52.909677Z,0.0,13.6V,,,,,237.35,47.72,100.4,94,,3.9514,3.9505,3.9536,3.1,710FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B3B4B4B4B4B4B4B4B4B3,,
2026-09-04T04:32:15.511850Z,22.602,13.6V,,,71.144,136.32,237.35,47.72,100.4,94,,3.9516,3.9506,3.9537,3.1,730FB817,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B3B4B4B4B4B4B4B4B4B4,,
2026-09-04T04:32:37.507417Z,44.598,13.6V,,,71.144,136.38,237.35,47.72,100.4,94,9.82,3.9518,3.9508,3.954,3.2,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B3B4B4B4B4B4B4B4B4B4,,
2026-09-04T04:33:06.752237Z,73.843,13.6V,,,71.144,136.44,237.35,47.72,100.4,94,8.43,3.9521,3.9512,3.9542,3.0,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B4B4B4B4B4B4B4B4B4B4,,
2026-09-04T04:33:26.051269Z,93.142,13.6V,,,71.144,136.48,237.35,47.72,100.4,94,7.42,3.9522,3.9514,3.9544,3.0,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B4B4B4B4B4B4B4B4B4B4,,
2026-09-04T04:33:46.312481Z,113.403,13.6V,,,71.543,136.53,237.35,47.72,100.4,94,8.19,3.9524,3.9514,3.9547,3.3,730FB717,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B4B4B4B4B4B4B4B4B4B4,,
2026-09-04T04:34:13.077631Z,140.168,13.6V,,,71.543,136.6,237.35,47.72,100.4,94,9.19,3.9526,3.9517,3.9549,3.2,730FB717,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B1B2B2B2B2B2B2B2B2B2B2B2B2B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:34:33.083560Z,160.174,13.6V,,,71.543,136.64,237.97,47.72,100.4,94,8.47,3.9528,3.9519,3.9549,3.0,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B2B2B2B2B2B2B2B2B2B2B2B2B2B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:34:53.468745Z,180.559,13.6V,,,71.543,136.68,237.97,47.72,100.4,94,7.13,3.953,3.9521,3.9552,3.1,730FB417,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B2B2B2B2B2B2B2B2B2B2B2B2B3B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:35:15.470026Z,202.561,13.6V,,,71.543,136.74,237.97,47.72,100.4,94,8.49,3.9533,3.9523,3.9555,3.2,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B2B2B2B2B2B3B2B2B2B2B2B3B3B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:35:43.641572Z,230.732,13.6V,,,71.543,136.8,237.97,47.72,100.4,94,8.61,3.9535,3.9525,3.9555,3.0,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B2B2B2B2B3B3B2B3B2B2B2B3B3B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:36:03.546009Z,250.637,13.6V,,,71.543,136.85,237.97,47.72,100.4,94,8.24,3.9537,3.9528,3.956,3.2,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B3B2B3B3B3B3B3B2B3B3B3B3B3B3B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:36:24.487670Z,271.578,13.6V,,,71.543,136.89,237.97,47.72,100.4,94,7.93,3.9538,3.9529,3.956,3.1,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:36:46.184628Z,293.275,13.6V,,,71.543,136.95,237.97,47.72,100.4,94,8.44,3.9541,3.9532,3.9564,3.2,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B4B4B4B4B4B4B4B4B4B4B5B4,,
2026-09-04T04:37:14.801571Z,321.892,13.6V,,,71.543,137.01,238.59,47.72,100.4,94,8.59,3.9543,3.9534,3.9566,3.2,9914B317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B4B5B4B4B4B5B4B4B4B4B5B4,,
2026-09-04T04:37:34.788734Z,341.879,13.6V,,,71.543,137.06,238.59,47.72,100.4,94,8.15,3.9545,3.9537,3.9568,3.1,710FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B4B5B4B4B4B5B5B4B4B5B5B4,,
2026-09-04T04:37:55.338299Z,362.429,13.6V,,,71.543,137.11,238.59,47.72,100.4,94,8.88,3.9548,3.9537,3.957,3.3,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B5B5B4B5B5B5B5B5B4B5B5B4,,
2026-09-04T04:38:24.759638Z,391.85,13.6V,,,71.543,137.17,238.59,47.72,100.4,94,7.92,3.9549,3.954,3.9571,3.1,9914B317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B5B5B4B5B5B5B5B5B5B5B5B5,,
2026-09-04T04:38:44.028758Z,411.119,13.6V,,,71.543,137.22,238.59,47.72,100.4,94,8.13,3.9551,3.9542,3.9573,3.1,730FB117,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B5B5B4B5B5B5B5B5B5B5B5B5,,
2026-09-04T04:39:03.965529Z,431.056,13.6V,,,71.543,137.26,238.59,47.72,100.4,94,8.26,3.9553,3.9544,3.9574,3.0,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B5B5B4B5B5B5B5B5B5B5B5B5,,
2026-09-04T04:39:24.242073Z,451.333,13.6V,,,71.943,137.31,238.59,47.72,100.4,94,8.47,3.9555,3.9547,3.9578,3.1,720FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B5B5B5B5B5B5B5B5B5B5B5B5,,
2026-09-04T04:39:54.131779Z,481.222,13.6V,,,71.943,137.38,239.21,47.72,100.4,94,8.61,3.9557,3.9548,3.9579,3.1,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B2B3B3B3B3B3B3B3B3B3B3B3B3B5B5B5B5B5B5B5B5B5B5B5B5,,
2026-09-04T04:40:15.236860Z,502.327,13.6V,,,71.943,137.42,239.21,47.72,100.4,94,7.77,3.9559,3.955,3.9581,3.1,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B3B3B3B3B3B3B3B3B3B3B3B3B3B5B5B5B5B5B5B5B5B5B5B6B5,,
2026-09-04T04:40:34.999793Z,522.09,13.6V,,,71.943,137.47,239.21,47.72,100.4,94,7.93,3.9562,3.9552,3.9585,3.3,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B3B3B3B3B3B3B3B3B3B3B3B3B4B5B5B5B5B5B5B5B5B5B5B6B5,,
2026-09-04T04:40:54.843448Z,541.934,13.6V,,,71.943,137.52,239.21,47.72,100.4,94,9.09,3.9564,3.9553,3.9586,3.3,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B3B3B3B3B3B3B3B3B3B3B3B3B4B5B5B5B5B5B5B5B5B5B5B6B5,,
2026-09-04T04:41:22.330306Z,569.421,13.6V,,,71.943,137.58,239.21,47.72,100.4,94,8.37,3.9566,3.9556,3.9589,3.3,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B3B3B3B3B4B4B3B4B3B3B3B4B4B5B5B5B5B5B5B5B5B5B5B6B5,,
2026-09-04T04:41:42.186428Z,589.277,13.6V,,,71.943,137.62,239.21,47.72,100.4,94,7.6,3.9568,3.9558,3.9591,3.3,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B4B3B3B3B3B4B4B3B4B3B3B3B4B4B5B5B5B5B5B5B5B5B5B5B6B5,,
