utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,field_4127_raw,field_4124_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-05T04:30:19.518675Z,0.0,13.7V,,,77.206,148.38,257.23,34.61,100.4,0D,,3.989,3.9878,3.9906,2.8,760FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,04B9,1391,1391,46,0418,0000,037F,01F2,383.26,-1.45,5806,-0.56,12.8,0,0,0,0,0,-45.23,0.0,-0.00637,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:30:33.040623Z,13.522,13.6V,,,77.206,148.38,257.23,34.61,100.4,0D,0.0,3.9889,3.9879,3.9906,2.7,720FB717,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,04B4,1396,1396,46,0418,0000,037F,023D,382.92,-1.75,5806,-0.67,12.8,0,0,0,0,0,-45.23,0.0,-0.00637,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:30:42.490405Z,22.972,13.6V,,,77.206,148.38,257.23,34.61,100.4,0D,0.0,3.989,3.9879,3.9906,2.7,720FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,04B4,1391,1391,46,0418,0000,037F,026A,383.07,-1.45,5806,-0.56,12.8,0,0,0,0,0,-45.23,0.0,-0.00637,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:30:51.879045Z,32.361,13.6V,,,77.206,148.38,257.23,34.61,100.4,0D,0.0,3.989,3.9879,3.9906,2.7,730FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,04AF,1391,1391,46,0418,0000,037F,0284,383.07,-1.45,5806,-0.56,12.8,0,0,0,0,0,-45.23,0.0,-0.00637,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:31:01.968888Z,42.45,13.6V,,,77.206,148.38,257.23,34.61,100.4,0D,0.0,3.989,3.9878,3.9906,2.8,760FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,04AF,1396,1391,46,0418,0000,037F,0293,383.22,-1.75,5806,-0.67,12.8,0,0,0,0,0,-45.23,0.0,-0.01274,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:31:11.402252Z,51.884,13.6V,,,77.206,148.39,257.23,34.61,100.4,0D,0.69,3.989,3.9879,3.9906,2.7,720FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,04AF,1391,1396,00,0418,0000,037F,02A0,383.07,-1.45,5806,-0.56,12.8,0,0,0,0,0,-45.23,0.0,-0.00637,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:31:23.616449Z,64.098,13.6V,,,77.206,148.39,257.23,34.61,100.4,0D,0.71,3.989,3.9879,3.9906,2.7,720FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,0,0,0,0,0,-45.23,0.0,-0.00637,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:31:49.612996Z,90.095,13.6V,,,77.206,148.39,257.23,34.61,100.4,0D,0.62,3.9891,3.988,3.9907,2.7,710FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:32:09.466535Z,109.948,13.6V,,,77.206,148.39,257.23,34.61,100.4,0D,0.0,3.9891,3.988,3.9908,2.8,720FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:32:29.253728Z,129.735,13.6V,,,77.206,148.4,257.23,34.61,100.4,0D,0.91,3.9891,3.988,3.9908,2.8,730FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
