utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,field_4127_raw,field_4124_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-05T08:30:33.923956Z,0.0,13.6V,,,78.407,150.55,260.96,34.61,102.2,0D,,4.0009,3.9998,4.0026,2.8,730FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C3C3C3C3C3C3C4C4C3C3C4C3C4C4C3C3C3C3C4C3C3C3C4C3,,
2026-09-05T08:30:56.819122Z,22.895,13.6V,,,78.407,150.55,260.96,34.61,102.2,0D,0.0,4.0009,3.9998,4.0025,2.7,730FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C3C3C3C3C3C3C4C4C3C3C4C3C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:31:27.412888Z,53.489,13.6V,,,78.407,150.56,260.96,34.61,102.2,0D,0.67,4.0009,3.9998,4.0026,2.8,730FB717,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C3C3C3C3C3C3C4C4C3C3C4C3C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:31:47.214896Z,73.291,13.6V,,,78.407,150.56,260.96,34.61,102.2,0D,0.71,4.001,3.9999,4.0026,2.7,710FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C3C3C3C4C3C4C4C3C3C4C3C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:32:06.492444Z,92.569,13.6V,,,78.407,150.57,260.96,34.61,102.2,0D,0.92,4.001,3.9999,4.0027,2.8,710FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C3C3C3C4C3C4C4C3C3C4C3C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:32:26.239776Z,112.316,13.6V,,,78.407,150.57,260.96,34.61,102.2,0D,0.61,4.001,3.9999,4.0027,2.8,710FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C3C3C3C4C3C4C4C3C3C4C3C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:32:56.662841Z,142.739,13.6V,,,78.407,150.57,260.96,34.61,102.2,0D,0.0,4.001,3.9999,4.0027,2.8,730FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C4C3C3C4C3C4C4C3C3C4C4C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:33:15.913990Z,161.99,13.6V,,,78.407,150.58,260.96,34.61,102.2,0D,0.72,4.001,3.9999,4.0027,2.8,760FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C4C3C3C4C3C4C4C3C3C4C4C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:33:35.717333Z,181.794,13.6V,,,78.407,150.58,260.96,34.61,102.2,0D,0.92,4.0011,3.9999,4.0027,2.8,730FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C4C3C3C4C3C4C4C3C3C4C4C4C4C3C3C3C3C4C3C3C4C4C3,,
2026-09-05T08:33:55.544054Z,201.62,13.6V,,,78.407,150.58,260.96,34.61,102.2,0D,0.61,4.0011,4.0,4.0027,2.7,710FB317,757574747474747474747575757574747474747474747474,,,,,,,000007,000186,000053,73,,,,,,,,,,,,,,,,,,,,,,,C2C3C4C4C3C3C4C3C4C4C3C4C4C4C4C4C3C3C3C3C4C3C3C4C4C3,,
