utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-04T15:19:07.306688Z,0.0,12.9V,0,2274.5,91.362,174.2,302.59,0.0,95.0,00,,4.0919,4.0913,4.0929,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,35.0,0.0,10.0,147.0,12.629,000000,000000,000000,65,0180,03E7,1391,1391,46,00EA,03E8,035C,02B8,392.92,1.5,5806,0.59,12.2,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:13.295442Z,5.989,13.0V,0,2274.5,91.362,174.2,302.59,0.0,95.0,00,0.0,4.0919,4.0913,4.0928,1.5,8A12B217,707170707070707070717171717171717070707070707070,5.0,40.0,0.0,10.0,147.0,12.663,000000,000000,000000,65,0180,03E7,1391,1391,46,00EA,03E8,035C,02BA,392.73,1.5,5806,0.59,12.2,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:18.222676Z,10.916,13.0V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-3.3,4.0919,4.0913,4.0928,1.5,8A12B217,707170707070707070717171717171717070707070707070,5.0,45.0,0.0,10.0,147.0,12.709,000000,000000,000000,65,0180,03E7,1396,1396,46,00EA,03E8,035C,02BC,392.73,1.5,5806,0.59,12.2,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:23.133531Z,15.827,13.1V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-2.27,4.0919,4.0913,4.0928,1.5,8A12B217,707170707070707070717171717171717070707070707070,5.0,49.0,0.0,10.0,147.0,12.755,000000,000000,000000,65,0180,03E7,1396,1396,46,00EA,03E8,035C,02BD,392.73,1.5,5806,0.59,12.3,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:27.250435Z,19.944,13.1V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-1.81,4.0919,4.0913,4.0928,1.5,8A12B217,707170707070707070717171717171717070707070707070,5.0,53.0,0.0,10.0,147.0,12.788,000000,000000,000000,65,0180,03E7,1396,1396,46,00EA,03E8,035C,02BF,392.73,1.5,5806,0.59,12.3,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:31.472127Z,24.166,13.1V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-1.49,4.0918,4.0913,4.0928,1.5,8A12B217,707170707070707070717171717171717070707070707070,5.0,58.0,0.0,10.0,147.0,12.834,000000,000000,000000,65,0180,03E7,1391,1391,46,00EA,03E8,035C,02C1,392.73,1.5,5806,0.59,12.4,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:36.500416Z,29.194,13.2V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-1.23,4.0918,4.0912,4.0928,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,63.0,0.0,10.0,147.0,12.875,000000,000000,000000,65,0180,03E7,1396,1396,46,00EA,03E8,035C,02C3,392.89,1.8,5806,0.71,12.4,0,0,0,0,0,-72.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:41.927958Z,34.622,13.2V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-1.04,4.0918,4.0912,4.0928,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,71.0,0.0,10.0,147.0,12.961,000000,000000,000000,66,0180,03E7,1391,1391,46,00EA,03E8,035C,02C6,392.69,1.5,5806,0.59,12.5,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:49.489598Z,42.183,13.3V,0,2274.5,91.362,174.19,302.59,0.0,95.0,00,-0.85,4.0918,4.0912,4.0928,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,79.0,0.0,10.0,147.0,13.02,000000,000000,000000,66,0180,03E7,1391,1391,46,00EA,03E8,035C,02C9,392.89,1.5,5806,0.59,12.6,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:19:57.166650Z,49.86,13.4V,0,2274.5,91.362,174.18,302.59,0.0,95.0,00,-1.44,4.0918,4.0912,4.0927,1.5,9E14B217,707170707070707070717171717171717070707070707070,5.0,87.0,0.0,10.0,147.0,13.08,000000,000000,000000,66,0180,03E7,1391,1396,46,00EA,03E8,035C,02CC,392.73,1.8,5806,0.71,12.6,0,0,0,0,0,-31.31,0.0,-0.01274,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:05.203185Z,57.897,13.3V,0,2274.5,91.362,174.18,302.59,0.0,95.0,00,-1.24,4.0917,4.0911,4.0927,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,95.0,0.0,10.0,147.0,13.166,000000,000000,000000,66,0180,03E7,1391,1396,46,00EA,03E8,035C,02CE,392.54,1.8,5806,0.71,12.7,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:13.284709Z,65.978,13.5V,0,2274.5,91.362,174.18,302.59,0.0,95.0,00,-1.2,4.0917,4.0911,4.0927,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,104.0,0.0,10.0,147.0,13.239,000000,000000,000000,66,0180,03E7,1396,1396,46,00EA,03E8,035C,02D1,392.69,1.8,5806,0.71,12.8,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:21.963447Z,74.657,13.6V,0,2274.5,91.362,174.17,302.59,0.0,95.0,00,-1.22,4.0917,4.0911,4.0926,1.5,9E14B217,707170707070707070717171717171717070707070707070,5.0,112.0,0.0,10.0,147.0,13.306,000000,000000,000000,66,0180,03E7,1396,1396,46,00EA,03E8,035C,02D5,392.89,1.8,5806,0.71,12.8,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:30.563914Z,83.257,13.7V,0,2274.5,91.362,174.17,302.59,0.0,95.0,00,-1.22,4.0917,4.0911,4.0926,1.5,9E14B217,707170707070707070717171717171717070707070707070,5.0,119.0,0.0,10.0,147.0,13.372,000000,000000,000000,66,0180,03E7,1396,1396,46,00EA,03E8,035C,02D7,392.73,1.8,5806,0.71,12.9,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:37.641842Z,90.335,13.7V,0,2274.5,91.362,174.17,302.59,0.0,95.0,00,-1.29,4.0917,4.091,4.0926,1.6,A014B217,707170707070707070717171717171717070707070707070,5.0,127.0,0.0,10.0,147.0,13.458,000000,000000,000000,66,0180,03E7,1391,1396,46,00EA,03E8,035C,02DA,392.73,2.1,5806,0.82,13.0,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:45.778302Z,98.472,13.8V,0,2274.5,91.362,174.17,302.59,0.0,95.0,00,-1.28,4.0916,4.0911,4.0925,1.4,8A12B217,707170707070707070717171717171717070707070707070,5.0,135.0,0.0,10.0,147.0,13.511,000000,000000,000000,66,0180,03E7,1391,1391,46,00EA,03E8,035C,02DC,392.89,2.1,5806,0.83,13.0,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:20:53.070281Z,105.764,13.9V,0,2274.5,91.362,174.16,302.59,0.0,95.0,00,-1.29,4.0916,4.0911,4.0925,1.4,8A12B217,707170707070707070717171717171717070707070707070,5.0,142.0,0.0,10.0,147.0,13.518,000000,000000,000000,66,0180,03E7,1396,1396,46,00EA,03E8,035C,02DF,392.69,2.1,5806,0.82,13.1,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:21:00.551748Z,113.245,13.8V,0,2274.5,91.362,174.16,302.59,0.0,95.0,00,-1.3,4.0916,4.091,4.0926,1.6,9E14B217,707170707070707070717171717171717070707070707070,5.0,149.0,0.0,10.0,147.0,13.518,000000,000000,000000,67,0180,03E7,1396,1396,46,00EA,03E8,035C,02E1,392.69,1.8,5806,0.71,13.1,0,0,0,0,0,-31.31,0.0,-0.01274,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:21:07.560765Z,120.254,13.9V,0,2274.5,91.362,174.16,302.59,0.0,95.0,00,-1.33,4.0916,4.091,4.0925,1.5,8A12B217,707170707070707070717171717171717070707070707070,5.0,157.0,0.0,10.0,147.0,13.518,000000,000000,000000,67,0180,03E7,1396,1391,46,00EA,03E8,035C,02E3,392.89,2.1,5806,0.83,13.1,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
2026-09-04T15:21:15.608496Z,128.302,13.9V,0,2274.5,91.362,174.16,302.59,0.0,95.0,00,-0.67,4.0916,4.091,4.0925,1.5,9E14B217,707170707070707070717171717171717070707070707070,5.0,166.0,0.0,10.0,147.0,13.518,000000,000000,000000,67,0180,03E7,1396,1391,46,00EA,03E8,035C,02E6,392.69,1.8,5806,0.71,13.1,0,0,0,0,0,-31.31,0.0,-0.00637,DDDDDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDFDF,0,0
