utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T23:15:50.691618Z,0.0,13.9V,0,2256.7,76.446,146.54,255.37,36.66,104.0,00,,3.979,3.9776,3.9822,4.6,730FB717,757675757575757575757676767675757575757575757575,0064,0577,1396,1396,46,00EA,01A2,03B1,0333,382.0,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:15:59.416987Z,8.726,13.9V,0,2256.7,76.446,146.54,255.37,36.66,104.0,00,0.0,3.979,3.9776,3.9821,4.5,730FB317,757675757575757575757676767675757575757575757575,0064,056D,1396,1396,46,00EA,01A2,03B1,0333,382.15,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:07.153683Z,16.462,13.8V,0,2256.7,76.446,146.53,255.37,36.66,104.0,00,-2.19,3.979,3.9776,3.9822,4.6,730FB717,757675757575757575757676767675757575757575757575,0064,0568,1396,1396,46,00EA,01A2,03B1,0333,382.03,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:13.159648Z,22.468,13.9V,0,2256.7,76.446,146.53,255.37,36.66,104.0,00,-1.6,3.979,3.9776,3.9821,4.5,760FB317,757675757575757575757676767675757575757575757575,0064,055E,1391,1391,46,00EA,01A2,03B1,0333,382.0,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:18.298237Z,27.607,13.9V,0,2256.7,76.446,146.53,255.37,36.66,104.0,00,-1.3,3.979,3.9776,3.9821,4.5,720FB317,757675757575757575757676767675757575757575757575,0064,0559,1396,1391,46,00EA,01A2,03B1,0333,382.15,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:25.215279Z,34.524,13.9V,0,2256.7,76.446,146.53,255.37,36.66,104.0,00,-1.04,3.979,3.9776,3.9821,4.5,730FB317,757675757575757575757676767675757575757575757575,0064,0554,1396,1396,46,00EA,01A2,03B1,0333,382.03,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:32.289022Z,41.598,13.9V,0,2256.7,76.446,146.53,255.37,36.66,104.0,00,-0.87,3.979,3.9776,3.9821,4.5,730FB317,757675757575757575757676767675757575757575757575,0064,0545,1396,139A,46,00EA,01A2,03B1,0333,382.18,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:39.665527Z,48.974,13.9V,0,2256.7,76.446,146.52,255.37,36.66,104.0,00,-1.47,3.9789,3.9776,3.982,4.4,720FB317,757675757575757575757676767675757575757575757575,0064,0540,139A,1396,46,00EA,01A2,03B1,0333,382.0,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:46.759141Z,56.068,13.9V,0,2256.7,76.446,146.52,255.37,36.66,104.0,00,-1.28,3.979,3.9776,3.982,4.4,720FB317,757675757575757575757676767675757575757575757575,0064,0531,1396,1396,46,00EA,01A2,03AC,0333,382.18,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
2026-09-03T23:16:54.239611Z,63.548,13.9V,0,2256.7,76.446,146.52,255.37,36.66,105.8,00,-1.31,3.9789,3.9776,3.982,4.4,730FB317,757675757575757575757676767675757575757575757575,0064,0527,1396,1391,46,00EA,01A2,03AC,0333,382.18,1.8,0.69,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFBFC0BF
