utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,field_4127_raw,field_4124_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-05T11:01:32.549670Z,0.0,13.4V,0,2404.2,89.735,172.94,300.73,0.0,95.0,00,,4.0878,4.0872,4.0888,1.6,9E14B217,717171717171717171717272727271717171717170707171,5.0,96.0,0.0,16.0,276.0,13.192,000000,000000,000000,66,0180,08BF,1396,1396,06,00EA,03E8,0375,01CD,392.09,6.9,5806,2.71,12.7,0,0,0,0,0,-74.87,0.0,-0.00637,DBDCDEDEDEDDDEDDDEDEDDDEDEDDDEDEDEDEDEDDDEDEDEDEDEDE,0,0
2026-09-08T15:26:19.541438Z,9.338,13.5V,0,2404.2,89.735,172.93,300.73,0.0,96.8,00,-3.86,4.0875,4.087,4.0885,1.5,8912B217,717171717171717171717272727271717171717170707171,5.0,104.0,0.0,16.0,276.0,13.279,000000,000000,000000,66,0180,0855,1396,1396,06,00EA,03E8,040B,01CD,392.43,7.8,5806,3.06,12.8,0,0,0,0,0,-74.87,0.0,-0.00637,DBDCDEDEDEDDDEDDDEDEDDDEDEDDDEDEDEDEDEDDDEDEDEDEDEDE,0,0
2026-09-08T15:26:27.914445Z,17.711,13.6V,0,2404.2,89.735,172.92,300.73,0.0,95.0,00,-4.07,4.0875,4.0869,4.0886,1.7,A014B217,717171717171717171717272727271717171717170707171,5.0,113.0,0.0,16.0,276.0,13.338,000000,00000A,000002,66,0180,0806,1396,1396,06,00EA,03E8,0415,01D4,392.43,7.2,5806,2.83,12.9,0,0,0,0,0,-74.87,0.0,-0.00637,DBDCDEDEDEDDDDDDDEDEDDDEDEDDDEDEDEDEDEDDDEDEDEDEDEDE,0,0
2026-09-08T15:26:36.153005Z,25.95,13.7V,0,2404.2,89.735,172.91,300.73,0.0,95.0,00,-4.16,4.0874,4.0869,4.0883,1.4,8A12B117,717171717171717171717272727271717171717170707171,5.0,121.0,0.0,16.0,276.0,13.412,000000,00000A,000002,67,0180,07ED,1396,1396,06,00EA,03E8,0447,01D5,392.09,8.1,5806,3.18,13.0,0,0,0,0,0,-74.87,0.0,-0.00637,DBDCDEDEDEDDDDDDDEDEDDDEDEDDDEDEDEDEDEDDDEDEDEDEDEDE,0,0
2026-09-08T15:26:44.328073Z,34.125,13.7V,0,2404.2,89.735,172.91,300.73,0.0,96.8,00,-3.16,4.0872,4.0867,4.0882,1.5,8A12B217,717171717171717171717272727271717171717170707171,5.0,128.0,0.0,16.0,276.0,13.493,000000,00000A,000002,67,0180,07B6,1396,1396,06,00EA,03E8,0483,01CE,392.24,8.4,5806,3.29,13.0,0,0,0,0,0,-74.87,0.0,-0.00637,DBDCDEDEDEDDDDDDDEDEDDDDDEDDDDDEDEDEDEDDDEDDDEDEDEDD,0,0
2026-09-08T15:26:52.089357Z,41.886,13.8V,0,2404.2,89.735,172.9,300.73,0.0,96.8,00,-3.44,4.0872,4.0866,4.0882,1.6,8912B617,717171717171717171717272727271717171717170707171,5.0,137.0,0.0,16.0,276.0,13.511,000000,00000A,000002,67,0180,077A,1396,1396,06,00EA,03E8,049C,01D4,392.28,8.4,5806,3.3,13.1,0,0,0,0,0,-74.87,0.0,-0.00637,DBDBDEDEDEDDDDDDDEDEDDDDDEDDDDDEDEDEDEDDDEDDDEDEDEDD,0,0
2026-09-08T15:27:00.450088Z,50.247,13.8V,0,2404.2,89.735,172.89,300.73,0.0,96.8,00,-3.58,4.0873,4.0867,4.0883,1.6,9E14B217,717171717171717171717272727271717171717170707171,5.0,144.0,0.0,16.0,276.0,13.531,000000,00000A,000002,68,0180,075B,1391,1391,06,00EA,03E8,0488,01D4,392.43,8.4,5806,3.3,13.1,0,0,0,0,0,-74.87,0.0,-0.00637,DBDBDEDEDDDDDDDDDEDEDDDDDEDDDDDEDDDDDEDDDEDDDEDEDEDD,0,0
