utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T15:25:13.244081Z,0.0,13.9V,0,2197.6,89.653,172.92,301.35,0.0,96.8,00,,4.0893,4.0888,4.0909,2.1,392.55,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:25:23.705570Z,10.462,13.9V,0,2197.6,89.653,172.92,301.35,0.0,96.8,00,0.0,4.0893,4.0888,4.0909,2.1,392.36,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:25:33.231127Z,19.987,13.9V,0,2197.6,89.653,172.92,301.35,0.0,96.8,00,0.0,4.0893,4.0888,4.0909,2.1,392.4,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:25:43.010988Z,29.767,13.9V,0,2197.6,89.653,172.91,301.35,0.0,96.8,00,-1.21,4.0893,4.0888,4.0909,2.1,392.55,1.8,0.71,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:25:52.278394Z,39.035,13.9V,0,2197.6,89.653,172.91,301.35,0.0,96.8,00,-0.92,4.0893,4.0888,4.0908,2.0,392.59,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:26:01.391547Z,48.148,13.9V,0,2197.6,89.653,172.91,301.35,0.0,96.8,00,-0.75,4.0893,4.0888,4.0909,2.1,392.59,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:26:10.991074Z,57.747,13.9V,0,2197.6,89.653,172.9,301.35,0.0,96.8,00,-1.25,4.0893,4.0888,4.0909,2.1,392.4,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:26:20.522401Z,67.279,13.9V,0,2197.6,89.653,172.9,301.35,0.0,96.8,00,-1.27,4.0893,4.0888,4.0909,2.1,392.55,1.8,0.71,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:26:29.644788Z,76.401,13.9V,0,2197.6,89.653,172.9,301.35,0.0,96.8,00,-1.28,4.0893,4.0888,4.0909,2.1,392.74,2.1,0.82,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
2026-09-03T15:26:39.676075Z,86.432,13.9V,0,2197.6,89.653,172.89,301.35,0.0,96.8,00,-1.27,4.0892,4.0888,4.0908,2.0,392.4,1.8,0.71,13.1,0,0,0,0,0,-1.06,0.0,-0.00637,DBDBDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDEDFDE
