utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:06:11.219034Z,0.0,13.8V,0,2247.5,78.949,150.11,262.2,31.01,105.8,00,,3.9975,3.996,4.0009,4.9,760FB317,757575747574747474747575757575757474747474747575,384.12,5.1,1.96,13.0,0,0,0,0,2200,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3C3C4C4C3
2026-09-03T22:06:15.913355Z,4.695,13.8V,0,2247.5,78.949,150.11,262.2,31.01,105.8,00,0.0,3.9975,3.9961,4.0009,4.8,720FB317,757575747574747474747575757575757474747474747575,383.93,5.1,1.96,13.0,0,0,0,0,2200,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3C3C4C4C3
2026-09-03T22:06:18.791845Z,7.573,13.7V,0,2247.5,78.949,150.1,262.2,31.01,105.8,00,-4.75,3.9975,3.996,4.0009,4.9,760FB317,757575747574747474747575757575757475747474747575,383.93,5.1,1.96,13.0,0,0,0,0,2200,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3C3C4C4C3
2026-09-03T22:06:21.590948Z,10.372,13.7V,0,2247.5,78.949,150.1,262.2,31.01,105.8,00,-3.47,3.9975,3.996,4.0009,4.9,780FB317,757575747574747474747575757575757475747474747575,383.93,5.4,2.07,13.0,0,0,0,0,2200,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3C3C4C4C3
2026-09-03T22:06:24.674169Z,13.455,13.8V,0,2247.5,78.949,150.1,262.2,31.01,105.8,00,-2.68,3.9974,3.9959,4.0009,5.0,760FB717,757575747574747474747575757575757475747474747575,384.12,4.8,1.84,13.0,0,0,0,0,2200,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3C3C4C4C3
2026-09-03T22:06:30.124190Z,18.905,13.8V,0,2247.5,78.949,150.1,262.2,31.01,105.8,00,-1.9,3.9974,3.9959,4.0008,4.9,780FB717,757575747574747474747575757575757475747474747575,383.75,4.8,1.84,13.0,0,0,0,0,2100,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3
2026-09-03T22:06:33.331919Z,22.113,13.8V,0,2247.5,78.949,150.09,262.2,31.01,105.8,00,-3.26,3.9974,3.9959,4.0008,4.9,760FB317,757575747574747474747575757575757475747474747575,383.93,5.1,1.96,13.0,0,0,0,0,2100,-34.5,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3
2026-09-03T22:06:39.512571Z,28.294,13.8V,0,2247.5,78.949,150.09,262.2,31.01,105.8,00,-2.54,3.9975,3.996,4.0009,4.9,760FB317,757575747574747474747575757575757475747474747575,383.75,4.8,1.84,13.0,0,0,0,0,2100,-34.8,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3C3C3C4C4C3
2026-09-03T22:06:43.898182Z,32.679,13.7V,0,2247.5,78.949,150.09,262.2,31.01,105.8,00,-2.2,3.9974,3.9959,4.0008,4.9,760FB317,757575747574747474747575757575757475747474747575,384.12,5.1,1.96,13.0,0,0,0,0,2100,-34.8,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C4C3
2026-09-03T22:06:48.286109Z,37.067,13.7V,0,2247.5,78.949,150.09,262.2,31.01,105.8,00,-1.94,3.9974,3.9959,4.0008,4.9,780FB317,757575747574747474747575757575757475747474747575,383.75,5.1,1.96,13.0,0,0,0,0,2100,-34.8,0.0,0.01911,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:06:52.692541Z,41.474,13.7V,0,2247.5,78.949,150.08,262.2,31.01,105.8,00,-2.6,3.9975,3.996,4.0008,4.8,720FB317,757575747574747474747575757575757475747474747575,384.12,4.5,1.73,13.0,0,0,0,0,2100,-34.8,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
2026-09-03T22:06:56.913387Z,45.695,13.8V,0,2247.5,78.949,150.08,262.2,31.01,105.8,00,-2.36,3.9974,3.9959,4.0007,4.8,720FB317,757575747574747474747575757575757475747474747575,383.93,4.5,1.73,13.0,0,0,0,0,2100,-34.8,0.0,0.02548,C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C3C4C3
