utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,nominal_pack_v,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-04T01:53:03.397533Z,0.0,13.8V,0,2274.5,70.443,133.49,233.62,47.72,95.0,00,,3.9269,3.9258,3.9294,3.6,720FB317,767776767776767676767777777776767676767676767776,5.0,5757.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058B,1391,1396,46,00EA,01A2,040B,0301,377.18,4.5,352.09,1.7,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:11.870366Z,8.473,13.8V,0,2274.5,70.443,133.49,233.62,47.72,95.0,00,0.0,3.9269,3.9258,3.9295,3.7,730FB317,767776767776767676767777777776767676767676767776,5.0,5764.0,0.0,10.0,147.0,13.556,00004D,00033E,0000B1,76,0064,058B,1391,1391,46,00EA,01A2,040B,0301,377.18,4.8,352.09,1.81,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:18.731674Z,15.334,13.8V,0,2274.5,70.443,133.48,233.62,47.72,95.0,00,-2.35,3.927,3.9258,3.9295,3.7,730FB317,767776767676767676767777777776767676767676767776,5.0,5771.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058B,1396,1396,46,00EA,01A2,0406,0301,377.03,4.8,352.09,1.81,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:25.953645Z,22.556,13.8V,0,2274.5,70.443,133.48,233.62,47.72,95.0,00,-1.6,3.9271,3.9259,3.9296,3.7,730FB317,767776767676767676767777777776767676767676767776,5.0,5778.0,0.0,10.0,147.0,13.543,00004D,00033E,0000B1,76,0064,058B,1391,1391,46,00EA,01A2,0406,0301,377.03,4.8,352.09,1.81,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:32.647184Z,29.25,13.8V,0,2274.5,70.443,133.48,233.62,47.72,95.0,00,-1.23,3.9271,3.926,3.9296,3.6,730FB317,767776767676767676767777777776767676767676767676,5.0,5784.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058B,1396,1396,46,00EA,01A2,0406,0301,377.33,4.5,352.09,1.7,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:39.495373Z,36.098,13.8V,0,2274.5,70.443,133.47,233.62,47.72,95.0,00,-1.99,3.9271,3.9259,3.9296,3.7,730FB317,767776767676767676767777777776767676767676767676,5.0,5791.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058B,1396,1391,46,00EA,01A2,0401,0301,377.18,4.5,352.09,1.7,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:45.993643Z,42.596,13.8V,0,2274.5,70.443,133.47,233.62,47.72,95.0,00,-1.69,3.9272,3.926,3.9297,3.7,730FB317,767776767676767676767777777776767676767676767676,5.0,5798.0,0.0,10.0,147.0,13.556,00004D,00033E,0000B1,76,0064,058F,1396,1391,46,00EA,01A2,0401,0301,377.21,4.2,352.09,1.58,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:52.857967Z,49.461,13.9V,0,2274.5,70.443,133.46,233.62,47.72,95.0,00,-2.18,3.9272,3.9261,3.9297,3.6,730FB317,767776767676767676767777777776767676767676767676,5.0,5805.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058F,1391,1391,46,00EA,01A2,03FC,0301,377.03,4.2,352.09,1.58,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:53:59.494065Z,56.097,13.8V,0,2274.5,70.443,133.46,233.62,47.72,95.0,00,-1.93,3.9273,3.9261,3.9298,3.7,730FB317,767776767676767676767777777776767676767676767676,5.0,5811.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058F,1396,1396,46,00EA,01A2,03FC,0301,376.99,3.9,352.09,1.47,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
2026-09-04T01:54:06.262808Z,62.865,13.9V,0,2274.5,70.443,133.46,233.62,47.72,95.0,00,-1.99,3.9273,3.9261,3.9298,3.7,730FB317,767776767676767676767777777776767676767676767676,5.0,5818.0,0.0,10.0,147.0,13.55,00004D,00033E,0000B1,76,0064,058F,1391,1391,46,00EA,01A2,03FC,0301,377.18,3.9,352.09,1.47,13.1,0,0,0,0,0,-72.42,0.0,-0.01274,AFAEAFAFAFAFAFAFAFAFAFAFAFAFB0B0B0B0B0B0B0B0B0B0B1B0,0,0
