utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-04T04:47:31.692696Z,0.0,13.6V,,,,,241.08,47.72,102.2,94,,3.9599,3.959,3.9621,3.1,720FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B5B4B4B4B4B5B5B4B5B4B4B4B5B5B6B6B6B6B6B6B6B6B6B6B7B6,,
2026-09-04T04:47:54.123376Z,22.431,13.6V,,,72.343,138.48,241.08,47.72,102.2,94,,3.9601,3.9591,3.9623,3.2,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B5B4B5B5B5B5B5B5B5B5B5B5B5B5B6B6B6B6B6B6B6B6B6B6B7B6,,
2026-09-04T04:48:24.769544Z,53.077,13.6V,,,72.343,138.55,241.08,47.72,102.2,94,8.22,3.9603,3.9594,3.9626,3.2,780FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B5B4B5B5B5B5B5B5B5B5B5B5B5B5B6B6B6B6B6B6B6B6B6B6B7B6,,
2026-09-04T04:48:45.360875Z,73.668,13.6V,,,72.343,138.6,241.08,47.72,102.2,94,8.43,3.9605,3.9596,3.9628,3.2,730FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B6B6B6B6B6B6B6B6B6B6B7B6,,
2026-09-04T04:49:04.652435Z,92.96,13.6V,,,72.343,138.64,241.08,47.72,102.2,94,8.12,3.9608,3.9597,3.9631,3.4,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,00A0,0000,0000,0000,00,0418,0000,01F4,01D6,,,,,,,,,,,,,,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B6B6B6B6B6B6B6B6B6B6B7B6,,
2026-09-04T04:49:24.207089Z,112.515,13.6V,,,72.343,138.69,241.08,47.72,102.2,94,8.48,3.961,3.9599,3.9631,3.2,730FB117,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B6B6B6B6B6B6B6B6B6B6B7B6,,
2026-09-04T04:49:51.942627Z,140.25,13.6V,,,72.343,138.75,241.08,47.72,102.2,94,8.37,3.9613,3.9603,3.9635,3.2,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,,,,,,,,,,,,,,,,,,,,,,,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B6B7B6B6B6B7B7B6B6B6B7B6,,
2026-09-04T04:50:11.747819Z,160.055,13.6V,,,72.743,138.8,241.7,47.72,102.2,94,8.33,3.9614,3.9603,3.9637,3.4,730FB717,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,00A0,03E2,1396,1396,3F,0418,0000,0393,01E1,380.55,-23.35,5806,-8.89,12.8,0,0,0,0,0,-72.42,0.0,-0.00637,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B7B7B6B6B6B7B7B7B6B7B7B6,,
2026-09-04T04:50:21.122933Z,169.43,13.6V,,,72.743,138.82,241.7,47.72,102.2,94,8.22,3.9615,3.9604,3.9638,3.4,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,00A0,03DD,1396,1396,46,0418,0000,0393,0222,380.71,-23.05,5806,-8.78,12.8,0,0,0,0,0,-72.42,0.0,-0.00637,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B7B7B6B7B7B7B7B7B7B7B7B6,,
2026-09-04T04:50:30.464843Z,178.772,13.6V,,,72.743,138.84,241.7,47.72,102.2,94,8.41,3.9616,3.9606,3.9639,3.3,760FB317,707070707070707070707171717170707070707070707070,,,,,,,00004D,00033E,0000B1,6D,00A0,03DD,1396,1396,00,0418,0000,0393,0250,380.74,-21.85,5806,-8.32,12.8,0,0,0,0,0,-72.42,0.0,-0.00637,B6B4B5B5B5B5B5B5B5B5B5B5B5B5B7B7B6B7B7B7B7B7B7B7B7B6,,
