utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T20:08:50.791815Z,0.0,14.0V,,,81.953,155.44,271.52,24.36,102.2,00,,4.0254,4.024,4.0286,4.6,740FB317,737372727372727272727373737373737272727272727372,386.48,0.0,0.0,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:08:59.370158Z,8.579,14.0V,,,81.953,155.44,271.52,24.36,102.2,00,0.0,4.0254,4.024,4.0286,4.6,760FB317,737372727372727272727373737373737272727272727372,386.59,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:06.149685Z,15.358,14.0V,,,81.953,155.44,271.52,24.36,102.2,00,0.0,4.0254,4.024,4.0287,4.7,760FB417,737372727372727272727373737373737272727272727372,386.44,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:13.008236Z,22.217,14.0V,,,81.953,155.44,271.52,24.36,102.2,00,0.0,4.0254,4.024,4.0287,4.7,740FB817,737372727372727272727373737373737272727272727372,386.59,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:19.824358Z,29.033,14.0V,,,81.953,155.44,271.52,24.36,102.2,00,0.0,4.0254,4.024,4.0287,4.7,760FB317,737372727372727272727373737373737272727272727372,386.78,0.0,0.0,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:26.673395Z,35.882,14.0V,,,81.953,155.43,271.52,24.36,102.2,00,-1.0,4.0254,4.024,4.0286,4.6,740FB417,737372727372727272727373737373737272727272727372,386.56,0.0,0.0,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:33.538682Z,42.747,14.0V,,,81.953,155.43,271.52,24.36,102.2,00,-0.84,4.0254,4.024,4.0287,4.7,760FB817,737372727372727272727373737373737272727272727372,386.93,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:40.356753Z,49.565,14.0V,,,81.953,155.43,271.52,24.36,102.2,00,-0.73,4.0254,4.024,4.0287,4.7,740FB417,737372727372727272727373737373737272727272727372,386.59,0.0,0.0,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:09:54.966474Z,64.175,14.0V,,,81.953,155.43,271.52,24.36,102.2,00,-0.65,4.0255,4.0241,4.0288,4.7,760FB417,737372727372727272727373737373737272727272727372,386.59,-0.25,-0.1,12.6,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:06.482598Z,75.691,13.3V,,,81.953,155.43,271.52,24.36,102.2,00,-0.67,4.0255,4.0241,4.0288,4.7,760FB417,737373727372727272727373737373737272727272727372,386.56,0.0,0.0,12.5,0,0,0,0,0,-39.56,0.01274,-0.01274,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:10.450052Z,79.658,13.2V,,,81.953,155.43,271.52,24.36,102.2,00,-0.63,4.0256,4.0242,4.0289,4.7,740FB817,737373727372727272727373737373737272727272727372,386.44,-0.25,-0.1,12.4,0,0,0,0,0,-39.56,0.01274,-0.01274,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:14.408909Z,83.617,13.1V,,,81.953,155.43,271.52,24.36,102.2,00,-0.66,4.0256,4.0241,4.0288,4.7,760FB817,737373727372727272727373737373737272727272727372,386.78,-0.25,-0.1,12.3,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:18.562759Z,87.771,13.0V,,,81.953,155.43,271.52,24.36,102.2,00,-0.61,4.0256,4.0242,4.0288,4.6,740FB317,737373727372727272727373737373737272727272727372,386.59,0.0,0.0,12.3,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:22.442794Z,91.651,13.0V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0242,4.0289,4.7,740FB417,737373727372727272727373737373737272727272727372,386.44,-0.25,-0.1,12.2,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:26.439728Z,95.648,12.9V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0242,4.0289,4.7,740FB817,737373727372727272727373737373737272727272727372,386.74,-0.25,-0.1,12.1,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:30.337344Z,99.546,12.9V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0241,4.0288,4.7,760FB317,737373727372727272727373737373737272727272727372,17.5,-0.25,-0.0,12.1,0,0,0,0,0,-39.56,0.01274,-0.01274,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:34.529542Z,103.738,12.8V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0242,4.0289,4.7,740FB817,737373727372727272727373737373737272727272727372,14.49,0.0,0.0,12.1,0,0,0,0,0,-39.56,0.01274,-0.01274,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:38.613162Z,107.822,12.8V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0241,4.0288,4.7,760FB317,737373727372727272727373737373737272727272727372,12.48,0.0,0.0,12.1,0,0,0,0,0,-39.56,0.01274,-0.01274,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:42.591235Z,111.8,12.8V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0242,4.0289,4.7,740FB417,737373727372727272727373737373737272727272727372,10.77,0.0,0.0,12.1,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:46.453884Z,115.662,12.8V,,,81.953,155.43,271.52,24.36,102.2,00,0.0,4.0256,4.0242,4.0289,4.7,740FB817,737373727372727272727373737373737272727272727372,9.19,0.0,0.0,12.1,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:50.324946Z,119.533,12.8V,,,81.953,155.43,271.52,24.36,104.0,00,0.0,4.0256,4.0242,4.0289,4.7,740FB317,737373727372727272727373737373737272727272727373,7.93,0.0,0.0,12.1,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:10:54.269833Z,123.478,12.8V,,,81.953,155.43,271.52,24.36,104.0,00,0.0,4.0256,4.0242,4.0289,4.7,760FB417,737373727372727272727373737373737272727272727372,6.22,0.0,0.0,12.0,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:11:02.829435Z,132.038,12.8V,,,81.953,155.43,271.52,24.36,104.0,00,0.0,4.0256,4.0242,4.0289,4.7,740FB817,737373727372727272727373737373737272727272727373,3.71,0.0,0.0,12.0,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:11:14.576896Z,143.785,12.8V,,,81.953,155.43,271.52,24.36,104.0,00,0.0,4.0256,4.0242,4.0289,4.7,740FB417,737373727372727272727373737373737272727272727373,2.61,0.0,0.0,12.0,0,0,0,0,0,-39.56,0.01274,-0.01274,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:11:22.981818Z,152.19,12.7V,,,81.953,155.43,271.52,24.36,104.0,00,0.0,4.0256,4.0242,4.0289,4.7,740FB417,737373727372727272727373737373737273727272727373,2.01,0.0,0.0,12.0,0,0,0,0,0,-39.56,0.01274,-0.00637,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
