utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,field_4127_raw,field_4124_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-05T04:28:44.310430Z,0.0,13.6V,,,77.206,148.36,257.23,34.61,98.6,0D,,3.9889,3.9878,3.9906,2.8,730FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,00A0,0000,0000,0000,00,0418,0000,01F4,01D6,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:29:10.316615Z,26.007,13.6V,,,77.206,148.37,257.23,34.61,98.6,0D,1.38,3.9889,3.9878,3.9906,2.8,760FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:29:30.022728Z,45.713,13.6V,,,,,257.23,34.61,100.4,0D,,3.989,3.9878,3.9907,2.9,760FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
2026-09-05T04:29:50.380038Z,66.07,13.6V,,,77.206,148.37,257.23,34.61,100.4,0D,0.0,3.989,3.9879,3.9906,2.7,720FB317,767675757675757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C0C0C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1C1,,
