utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T21:45:41.891372Z,36.39,13.8V,5,2247.5,79.449,150.88,263.45,30.94,100.4,00,-3.96,3.9991,3.9976,4.0025,4.9,710FB317,747574747474747474747575757574747474747474747474,384.09,3.6,1.38,13.1,6,7,6,7,100,37.05,0.05734,-0.03186,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:44.553527Z,39.052,13.8V,1,2247.5,79.449,150.88,263.45,30.94,100.4,00,-3.69,3.9988,3.9972,4.0023,5.1,710FB317,747574747474747474747575757574747474747474737474,384.39,6.9,2.65,13.1,2,2,2,2,200,0.11,0.05734,-0.01911,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:47.461607Z,41.96,13.8V,0,2247.5,79.449,150.88,263.45,30.94,100.4,00,-3.43,3.9986,3.997,4.0022,5.2,710FB317,747574747474747474747575757574747374747473747474,384.09,6.6,2.53,13.1,0,0,0,0,500,-2.35,0.05097,0.00637,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:50.119911Z,44.618,13.8V,0,2247.5,79.449,150.87,263.45,30.94,100.4,00,-4.03,3.9987,3.9972,4.0023,5.1,710FB317,747574747474747474747575757574747474747474747474,383.93,6.6,2.53,13.1,0,0,0,0,500,-2.49,0.05097,0.00637,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:52.736455Z,47.235,13.8V,0,2247.5,79.449,150.87,263.45,30.94,100.4,00,-3.81,3.9987,3.9971,4.0022,5.1,730FB417,747574747474747474747575757574747474747474747474,383.71,8.1,3.11,13.1,0,0,0,0,200,-2.62,0.05097,0.01911,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:55.368121Z,49.867,13.8V,5,2247.5,79.449,150.87,263.45,30.94,100.4,00,-3.61,3.9978,3.996,4.0014,5.4,760FB817,747574747474747474747575757574747374747473747474,383.48,33.9,13.0,13.0,2,2,3,2,0,-27.74,0.05097,0.12742,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:57.932899Z,52.431,13.8V,17,2247.5,79.449,150.86,263.45,30.94,100.4,00,-4.12,3.9859,3.9843,3.9896,5.3,710FB317,747574747474747474747575757574747474747474747474,382.5,80.4,30.75,13.0,15,15,15,15,0,-9.17,0.07645,0.12105,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:00.473190Z,54.972,13.8V,12,2247.5,79.449,150.85,263.45,30.94,100.4,00,-4.58,4.0014,3.9999,4.0049,5.0,710FB317,747574747474747474747575757574747374747473747474,384.58,-24.25,-9.33,13.0,15,14,15,14,100,-14.98,0.05097,-0.10194,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:03.431741Z,57.93,13.8V,2,2247.5,79.449,150.85,263.45,31.01,100.4,00,-4.35,3.9995,3.9979,4.003,5.1,740FB717,747574747474747474747575757574747474747474747474,384.24,6.0,2.31,13.0,3,3,3,3,400,33.18,0.05097,-0.06371,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:46:06.297991Z,60.796,13.8V,4,2247.5,79.449,150.85,263.45,31.01,100.4,00,-4.47,3.9975,3.9957,4.0011,5.4,780FB417,747574747474747474747575757574747474747474747474,383.97,22.2,8.52,13.0,3,3,3,3,0,243.25,0.0892,0.06371,C3C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
